,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
3,17050-549,11 oktober 2018,Jasper van Dijk, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17050-550,11 oktober 2018,Jasper van Dijk, Socialistische Partij,Indiener: W. Koolmees, minister van Sociale Zaken en Werkgelegenheid,,,,,,,,,,,,,,,,,,,,,,,,
5,17050-551,11 oktober 2018,Jasper van Dijk, Socialistische Partij,Corrie van Brenk, 50PLUS,Paul Smeulders, GroenLinks,Gijs van Dijk, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,
6,17050-552,11 oktober 2018,Paul Smeulders, GroenLinks,Corrie van Brenk, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,
7,17050-553,11 oktober 2018,Gijs van Dijk, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17050-554,11 oktober 2018,Léon de Jong, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17050-555,11 oktober 2018,Léon de Jong, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17050-556,11 oktober 2018,Léon de Jong, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17050-557,11 oktober 2018,Léon de Jong, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17050-558,11 oktober 2018,Léon de Jong, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
